numero_titulo,tipo_credor,serie,n,id_cliente,tipo_pagamento,data_emissao,vencimento,data_pagamento,valor_titulo,instituicao,situacao_titulo,codigo_credito,descricao_credito,codigo_debito,descricao_debito,data_hora_lancamento
186,2,S,1,5543,2,2025-03-07 00:00:00.000,2025-03-20 00:00:00.000,2025-03-20 00:00:00.000,"688,4",237,3,NULL,NULL,29,COMISSAO,Mar  7 2025 12:00AM08:23
189,2,1,1,5844,1,2025-07-07 00:00:00.000,2025-08-10 00:00:00.000,2025-08-11 00:00:00.000,60,237,3,NULL,NULL,53,MATERIAL P/ USO E CONSUMO,Jul  7 2025 12:00AM17:18
192,2,1,1,5468,2,2025-05-07 00:00:00.000,2025-05-15 00:00:00.000,2025-05-15 00:00:00.000,748,237,3,NULL,NULL,30,PROPAGANDA E PUBLICIDADE,May  7 2025 12:00AM17:01
193,2,1,1,5468,2,2025-05-07 00:00:00.000,2025-05-20 00:00:00.000,2025-05-20 00:00:00.000,"1666,66",237,3,NULL,NULL,30,PROPAGANDA E PUBLICIDADE,May  7 2025 12:00AM10:40
195,2,S,1,5535,2,2025-01-07 00:00:00.000,2025-01-15 00:00:00.000,2025-01-15 00:00:00.000,480,237,3,NULL,NULL,23,FRETE S/ COMPRAS,Jan  7 2025 12:00AM09:32
196,2,1,1,5553,2,2025-06-04 00:00:00.000,2025-06-13 00:00:00.000,2025-06-13 00:00:00.000,3460,237,3,NULL,NULL,42,SERVICOS PROFISSIONAIS CONTRATADOS,Jun  4 2025 12:00AM10:10
202,2,1,1,5468,1,2025-06-02 00:00:00.000,2025-06-15 00:00:00.000,2025-06-16 00:00:00.000,680,237,3,NULL,NULL,30,PROPAGANDA E PUBLICIDADE,Jun  2 2025 12:00AM11:08
205,2,S,1,5543,2,2025-04-09 00:00:00.000,2025-04-20 00:00:00.000,2025-04-22 00:00:00.000,"800,35",237,3,NULL,NULL,29,COMISSAO,Apr  9 2025 12:00AM16:18
207,2,S,1,5535,2,2025-02-03 00:00:00.000,2025-02-15 00:00:00.000,2025-02-17 00:00:00.000,400,237,3,NULL,NULL,23,FRETE S/ COMPRAS,Feb  3 2025 12:00AM16:35
214,2,1,1,5468,2,2025-07-01 00:00:00.000,2025-07-15 00:00:00.000,2025-07-15 00:00:00.000,680,237,3,NULL,NULL,30,PROPAGANDA E PUBLICIDADE,Jul  1 2025 12:00AM16:35
218,2,S,1,5535,2,2025-03-03 00:00:00.000,2025-03-15 00:00:00.000,2025-03-17 00:00:00.000,400,237,3,NULL,NULL,23,FRETE S/ COMPRAS,Mar  3 2025 12:00AM17:24
225,2,1,1,5468,2,2025-08-04 00:00:00.000,2025-08-15 00:00:00.000,2025-08-15 00:00:00.000,680,237,3,NULL,NULL,30,PROPAGANDA E PUBLICIDADE,Aug  4 2025 12:00AM14:01
229,2,S,1,5535,2,2025-04-01 00:00:00.000,2025-04-15 00:00:00.000,2025-04-15 00:00:00.000,120,237,3,NULL,NULL,23,FRETE S/ COMPRAS,Apr  1 2025 12:00AM08:39
230,2,S,1,1902,2,2025-01-09 00:00:00.000,2025-01-20 00:00:00.000,2025-01-20 00:00:00.000,"438,57",237,3,NULL,NULL,29,COMISSAO,Jan  9 2025 12:00AM09:30
231,2,1,1,5468,2,2025-09-02 00:00:00.000,2025-09-15 00:00:00.000,2025-09-15 00:00:00.000,680,237,3,NULL,NULL,30,PROPAGANDA E PUBLICIDADE,Sep  2 2025 12:00AM14:59
231,2,S,1,5543,2,2025-06-08 00:00:00.000,2025-06-20 00:00:00.000,2025-06-20 00:00:00.000,"359,57",237,3,NULL,NULL,29,COMISSAO,Jun  8 2025 12:00AM15:57
235,2,1,1,5468,2,2025-09-03 00:00:00.000,2025-10-01 00:00:00.000,2025-10-01 00:00:00.000,300,2,3,NULL,NULL,30,PROPAGANDA E PUBLICIDADE,Sep  3 2025 12:00AM10:43
235,2,1,2,5468,2,2025-09-03 00:00:00.000,2025-11-01 00:00:00.000,2025-11-03 00:00:00.000,300,2,3,NULL,NULL,30,PROPAGANDA E PUBLICIDADE,Sep  3 2025 12:00AM10:43
244,2,S,1,5535,2,2025-05-06 00:00:00.000,2025-05-15 00:00:00.000,2025-05-15 00:00:00.000,160,237,3,NULL,NULL,23,FRETE S/ COMPRAS,May  6 2025 12:00AM11:10
245,2,1,1,5468,2,2025-10-03 00:00:00.000,2025-10-15 00:00:00.000,2025-10-15 00:00:00.000,680,2,3,NULL,NULL,30,PROPAGANDA E PUBLICIDADE,Oct  3 2025 12:00AM14:02
255,2,S,1,5535,2,2025-06-02 00:00:00.000,2025-06-15 00:00:00.000,2025-06-16 00:00:00.000,40,237,3,NULL,NULL,23,FRETE S/ COMPRAS,Jun  2 2025 12:00AM15:06
257,2,1,1,278,2,2025-11-03 00:00:00.000,2025-11-10 00:00:00.000,2025-11-10 00:00:00.000,390,237,3,NULL,NULL,13,DESP SIND E ASSOC DE CLASSE,Nov  3 2025 12:00AM15:23
